filenames,uncertainty_max,uncertainty_topk,uncertainty_entropy,uncertainty_gcnu,uncertainty_mmd,uncertainty_wasserstein,uncertainty_wasserstein_pca
9032413_3110373_x0_y256_crop904.png,0.043077945709228516,0.0462568998336792,8.154353141784668,0.044645655900239944,0.9642521739006042,611.8224487304688,3.1309855081480706
9010399_3088359_x256_y256_crop9322.png,0.1152532696723938,0.11790788173675537,8.174151420593262,0.12501788139343262,0.9910664558410645,488.08428955078125,3.415740309175495
9026909_3077352_x0_y384_crop3612.png,0.07727634906768799,0.08920705318450928,8.161741256713867,0.0830884575843811,0.9953610897064209,579.697265625,3.3095693892828235
8999392_3080104_x384_y0_crop2499.png,0.045359134674072266,0.04908561706542969,8.155732154846191,0.04727958142757416,0.9329067468643188,572.9427490234375,2.9634822309696585
8996640_3126883_x0_y384_crop4476.png,0.07452911138534546,0.07811009883880615,8.157159805297852,0.07865743339061737,0.9723954200744629,585.7279663085938,3.2081523233589593
9040668_3137890_x0_y256_crop3544.png,0.04139971733093262,0.04490739107131958,8.152897834777832,0.04243403673171997,0.9715868830680847,628.28173828125,3.429328184507527
9035164_3080104_x256_y384_crop8622.png,0.04741477966308594,0.051062941551208496,8.154293060302734,0.04914383962750435,0.9051271080970764,561.464599609375,2.8438113003539875
9021406_3088359_x128_y128_crop8565.png,0.04686617851257324,0.05117905139923096,8.152931213378906,0.04855940118432045,0.9301095604896545,584.8060913085938,3.1828805560594673
8996640_3077352_x128_y128_crop1749.png,0.051111459732055664,0.05209362506866455,8.154769897460938,0.05304025486111641,0.9056206941604614,561.437255859375,2.8563953646508966
9018654_3107621_x0_y256_crop3864.png,0.03427010774612427,0.036075711250305176,8.15084457397461,0.03525317832827568,0.8864495158195496,589.43798828125,3.077617043347209
9002144_3107621_x128_y0_crop5137.png,0.052106261253356934,0.05884188413619995,8.1566743850708,0.055074989795684814,0.909275233745575,552.3961181640625,2.8565179532211977
8999392_3080104_x256_y256_crop2506.png,0.04065483808517456,0.04521721601486206,8.154257774353027,0.04204634204506874,0.9703608155250549,621.4695434570312,3.168233301020586
9002144_3140642_x384_y256_crop9339.png,0.06358402967453003,0.06641370058059692,8.156747817993164,0.06697536259889603,0.9615521430969238,581.5242309570312,3.010703141908962
9040668_3102117_x256_y0_crop4498.png,0.04230368137359619,0.044472694396972656,8.153670310974121,0.04346048831939697,0.9722277522087097,618.7280883789062,3.4365483891676356
9002144_3085607_x0_y384_crop6924.png,0.027684688568115234,0.028203189373016357,8.123001098632812,0.028260689228773117,1.0341930389404297,1101.4188232421875,4.932153409553991
8993888_3104869_x384_y384_crop9535.png,0.06088680028915405,0.061754584312438965,8.154730796813965,0.0639982596039772,0.9091038703918457,556.210693359375,2.9913406708661494
8996640_3132387_x256_y0_crop3026.png,0.06971961259841919,0.07296979427337646,8.155900955200195,0.07257294654846191,0.983599066734314,601.4127807617188,3.367936976685808
9035164_3077352_x0_y256_crop6584.png,0.057862043380737305,0.06347829103469849,8.154722213745117,0.05991756170988083,0.9705700874328613,602.4407958984375,3.1604983522337635
9018654_3124131_x128_y0_crop1585.png,0.053904175758361816,0.0606268048286438,8.156942367553711,0.056309040635824203,0.959651529788971,584.4263916015625,3.1687480356672433
9004895_3099366_x384_y384_crop127.png,0.03376138210296631,0.03470611572265625,8.151744842529297,0.034668345004320145,0.856059193611145,567.8922119140625,2.9031640762620037
8980130_3077352_x128_y256_crop6041.png,0.04881387948989868,0.05123424530029297,8.150274276733398,0.050929099321365356,0.8640584349632263,564.5264892578125,2.6345634673612937
8991137_3113124_x256_y384_crop7374.png,0.06164485216140747,0.06811380386352539,8.159440040588379,0.06544861942529678,0.9360595941543579,546.1205444335938,2.9593435838134976
8999392_3118628_x384_y384_crop6063.png,0.24256032705307007,0.2515217661857605,8.180426597595215,0.26746150851249695,1.0456901788711548,553.4680786132812,4.195485359941746
8991137_3110373_x128_y384_crop7085.png,0.055469393730163574,0.0634695291519165,8.152196884155273,0.05830595642328262,0.9175266623497009,576.3815307617188,2.9160450396950433
9021406_3124131_x384_y384_crop1455.png,0.03563183546066284,0.045179009437561035,8.152446746826172,0.036727506667375565,0.9672720432281494,628.253662109375,3.3460743659772243
9024157_3121380_x128_y0_crop9361.png,0.08494889736175537,0.08882701396942139,8.169540405273438,0.09036821126937866,0.9893394112586975,527.08642578125,3.2791352146467965
8982881_3146145_x0_y256_crop1528.png,0.030820071697235107,0.03175145387649536,8.134912490844727,0.03175676614046097,1.0376646518707275,864.218505859375,4.59044030839038
9040668_3113124_x384_y256_crop5883.png,0.04535466432571411,0.04797238111495972,8.154616355895996,0.047202181071043015,0.9378301501274109,587.6107788085938,2.9705846183545943
9010399_3146145_x256_y0_crop8578.png,0.07018595933914185,0.07240515947341919,8.159995079040527,0.07396864145994186,0.982229471206665,580.7318725585938,3.1498922954201705
8991137_3099366_x384_y128_crop6183.png,0.06714355945587158,0.06997382640838623,8.15317440032959,0.07044804841279984,0.9475098848342896,587.045166015625,3.118865345622693
9029661_3115876_x0_y384_crop7996.png,0.046502530574798584,0.04975157976150513,8.15517520904541,0.04817042499780655,0.9670209288597107,606.4109497070312,3.211896919833613
9015902_3132387_x0_y384_crop1404.png,0.0637139081954956,0.06942623853683472,8.156519889831543,0.06677176058292389,0.9799367189407349,599.8788452148438,3.0676994638972355
9035164_3110373_x0_y0_crop3616.png,0.053296685218811035,0.0582432746887207,8.154592514038086,0.05588880926370621,0.9439720511436462,581.1341552734375,3.0049413793766417
9010399_3118628_x384_y128_crop775.png,0.08945715427398682,0.0967591404914856,8.161691665649414,0.09471511840820312,1.0048125982284546,597.1384887695312,3.397345036392862
9013151_3137890_x256_y256_crop7146.png,0.04799830913543701,0.05220288038253784,8.151939392089844,0.04984508082270622,0.8788173794746399,558.566650390625,2.749912102773057
9021406_3093862_x256_y256_crop426.png,0.047841548919677734,0.05313605070114136,8.15367603302002,0.04930964857339859,0.93498694896698,587.2839965820312,3.067676721839222
9004895_3080104_x128_y128_crop3829.png,0.08435660600662231,0.0958629846572876,8.16666316986084,0.09112396091222763,0.9992277026176453,557.1190185546875,3.347260886797121
8999392_3080104_x256_y0_crop2498.png,0.04523158073425293,0.05084574222564697,8.155303955078125,0.047119345515966415,0.9396127462387085,577.5310668945312,2.892708381702433
9035164_3077352_x384_y384_crop6591.png,0.043506920337677,0.05018550157546997,8.150969505310059,0.04497797414660454,0.881069004535675,570.6734008789062,2.8480851702986065
9037916_3099366_x384_y128_crop2119.png,0.050674498081207275,0.05502396821975708,8.155184745788574,0.052664510905742645,0.9345018267631531,576.837158203125,2.8521738713283638
9037916_3080104_x128_y0_crop33.png,0.05622321367263794,0.057879745960235596,8.151328086853027,0.0585777685046196,0.9086719751358032,577.288330078125,2.8309917064567545
